month,month_name,hour,avg_kwh,p10_kwh,p90_kwh
12,Dec,3,0.26777086814585155,0.06223387096774193,0.5008145161290324
12,Dec,4,0.2562606300588617,0.06126025912215759,0.481598386935484
12,Dec,5,0.26407963193410033,0.06309677419354838,0.5097529878371232
12,Dec,6,0.30819077389251187,0.0724274193548387,0.6079467727419355
12,Dec,7,0.3962132284508002,0.09572683749074563,0.7949677404838718
12,Dec,8,0.48826144120543424,0.12293225806451613,0.954517744516129
12,Dec,9,0.5109703403347943,0.13712419354838712,0.9909419348387104
12,Dec,10,0.5159782263693081,0.13792741935483874,1.0053976602903234
12,Dec,11,0.5135092138306119,0.13253141175883257,1.0252096748387098
12,Dec,12,0.5215901689055541,0.13442258064516127,1.027160632363829
12,Dec,13,0.5303488067721503,0.14055737704918034,1.0300258062903227
12,Dec,14,0.5235572385963597,0.13949516129032258,1.0271774195161296
12,Dec,15,0.5311135316530352,0.1421741935483871,1.024295161451613
12,Dec,16,0.6081806605267018,0.16521612903225805,1.1772048374193547
12,Dec,17,0.7164437954597929,0.1938709677419355,1.3986221076097303
12,Dec,18,0.7710013034466625,0.21281451612903227,1.4847534612004232
12,Dec,19,0.7790992267582231,0.21924193548387097,1.507778964044665
12,Dec,20,0.7415414593121678,0.21471208355367533,1.41770000467742
12,Dec,21,0.6946003177285466,0.19952580629032257,1.3038290333870968
12,Dec,22,0.6275785522895875,0.17610821012096775,1.1921580630645165
12,Dec,23,0.5189201110040033,0.12809193548387096,1.037161293387097
