K,q,ng,nc,np,net_seed,role_seed,kappa_c
4,1.0,5,5,40,3517135298,1361196497,0.1085937500000028
4,1.0,5,5,40,2475861117,3920945187,0.08359375000000281
4,1.0,5,5,40,2475861117,2329645442,0.08046875000000282
4,1.0,5,5,40,2475861117,693937315,0.1101562500000028
4,1.0,5,5,40,2475861117,338986146,0.08984375000000282
4,1.0,5,5,40,2227556362,1042237276,0.1070312500000028
4,1.0,5,5,40,2227556362,1271999664,0.1054687500000028
4,1.0,5,5,40,2475861117,2816887352,0.09765625000000282
4,1.0,5,5,40,2227556362,3839038434,0.09296875000000282
4,1.0,5,5,40,2227556362,1282732178,0.10390625000000281
4,1.0,5,5,40,2227556362,3894300485,0.10390625000000281
8,0.0,5,5,40,1449452315,309650737,0.09609375000000281
8,0.0,5,5,40,1449452315,1047867465,0.10234375000000284
8,0.0,5,5,40,1449452315,1586933263,0.0976562500000028
8,0.0,5,5,40,1449452315,901663278,0.0960937500000028
8,0.0,5,5,40,1449452315,711986337,0.09609375000000281
8,0.0,5,5,40,1449383004,285007880,0.11328125000000287
8,0.0,5,5,40,1449383004,3636145163,0.11484375000000287
8,0.0,5,5,40,1449383004,3484028853,0.09921875000000284
8,0.0,5,5,40,1449383004,2300648833,0.08984375000000279
8,0.0,5,5,40,3592128687,807791458,0.10546875000000287
8,0.0,5,5,40,3592128687,2514076792,0.10390625000000286
8,0.0,5,5,40,1449383004,2216373583,0.10859375000000285
8,0.0,5,5,40,3592128687,1965438348,0.11796875000000288
8,0.0,5,5,40,3592128687,4221979801,0.0976562500000028
8,0.0,5,5,40,987600961,3842708163,0.11171875000000288
8,0.0,5,5,40,3592128687,1795009965,0.12109375000000287
8,0.0,5,5,40,987600961,173905529,0.10546875000000287
8,0.0,5,5,40,987600961,3783991001,0.10390625000000286
8,0.0,5,5,40,987600961,1030638646,0.10234375000000284
8,0.0,5,5,40,1387485229,81821960,0.10078125000000283
8,0.0,5,5,40,987600961,4132004059,0.11796875000000288
8,0.0,5,5,40,1387485229,1333966470,0.12109375000000287
8,0.0,5,5,40,1387485229,2858823253,0.11640625000000286
8,0.0,5,5,40,1387485229,2131376835,0.0898437500000028
8,0.0,5,5,40,513518019,467862487,0.12109375000000287
8,0.0,5,5,40,513518019,206544836,0.0882812500000028
8,0.0,5,5,40,1387485229,3926463207,0.10546875000000287
8,0.0,5,5,40,513518019,2160705937,0.12265625000000287
8,0.0,5,5,40,513518019,1451888158,0.08046875000000284
8,0.0,5,5,40,513518019,1124696277,0.07890625000000283
8,0.0,5,5,40,961068511,717192029,0.13046875000000288
8,0.0,5,5,40,961068511,629065490,0.10390625000000286
8,0.0,5,5,40,961068511,3917531873,0.12109375000000287
8,0.0,5,5,40,961068511,1545207041,0.10078125000000283
8,0.0,5,5,40,1498554302,777508934,0.09921875000000281
8,0.0,5,5,40,1498554302,1259306183,0.09296875000000279
8,0.0,5,5,40,961068511,2290541288,0.10546875000000287
8,0.0,5,5,40,1498554302,1945476761,0.0976562500000028
8,0.0,5,5,40,1498554302,2758858043,0.12109375000000287
8,0.0,5,5,40,1498554302,1537868587,0.11171875000000288
8,0.0,5,5,40,3664866724,1966506675,0.09921875000000284
8,0.0,5,5,40,3664866724,1715514849,0.12421875000000289
8,0.0,5,5,40,3664866724,65663608,0.09921875000000284
8,0.0,5,5,40,3664866724,3583444188,0.11484375000000287
8,0.0,5,5,40,3664866724,2536282660,0.11328125000000287
8,0.0,5,5,40,2633212528,2574448320,0.11640625000000289
8,0.0,5,5,40,2633212528,3461738989,0.09921875000000284
8,0.0,5,5,40,2633212528,3510900202,0.08515625000000279
8,0.0,5,5,40,2633212528,3520892511,0.11640625000000289
8,0.0,5,5,40,1756036332,2145680778,0.11640625000000289
8,0.0,5,5,40,1756036332,4114717938,0.0945312500000028
8,0.0,5,5,40,2633212528,1992474838,0.10859375000000285
8,0.0,5,5,40,1756036332,459792981,0.0882812500000028
8,0.0,5,5,40,1756036332,3018334321,0.11796875000000288
8,0.0,5,5,40,1756036332,407969192,0.11328125000000287
8,0.0,5,5,40,1553233486,1123015599,0.10390625000000286
8,0.0,5,5,40,1553233486,3186246088,0.11328125000000287
8,0.0,5,5,40,1553233486,2969894603,0.08515625000000279
8,0.0,5,5,40,1553233486,3011351097,0.09921875000000284
8,0.0,5,5,40,1553233486,233315159,0.11953125000000288
8,0.0,5,5,40,4082390650,2841974103,0.10703125000000287
8,0.0,5,5,40,4082390650,2437341876,0.07890625000000283
8,0.0,5,5,40,4082390650,2791561072,0.08046875000000284
8,0.0,5,5,40,4082390650,1243056646,0.11953125000000288
8,0.0,5,5,40,4082390650,2537759377,0.10546875000000287
8,0.0,5,5,40,3706021649,4004859346,0.10078125000000283
8,0.0,5,5,40,3706021649,3605719021,0.11328125000000287
8,0.0,5,5,40,3706021649,2968020657,0.0976562500000028
8,0.0,5,5,40,3706021649,2202676277,0.11015625000000287
8,0.0,5,5,40,3706021649,473047154,0.11640625000000289
8,0.0,5,5,40,1625260275,671241602,0.11484375000000287
8,0.0,5,5,40,1625260275,3425855350,0.11796875000000288
8,0.0,5,5,40,1625260275,1416498903,0.09921875000000284
8,0.0,5,5,40,1625260275,3069933518,0.10859375000000283
8,0.0,5,5,40,1625260275,3267808330,0.11015625000000287
8,0.0,5,5,40,1459603501,4233649422,0.09296875000000279
8,0.0,5,5,40,1459603501,3174331450,0.11640625000000289
8,0.0,5,5,40,1459603501,3117614059,0.11953125000000288
8,0.0,5,5,40,1459603501,3481727571,0.0945312500000028
8,0.0,5,5,40,1459603501,12651023,0.0945312500000028
8,0.0,5,5,40,2554631641,3969628342,0.10234375000000284
8,0.0,5,5,40,2554631641,1950585669,0.0898437500000028
8,0.0,5,5,40,2554631641,2958822795,0.11640625000000286
8,0.0,5,5,40,2554631641,1187595750,0.10859375000000285
8,0.0,5,5,40,3737356074,3273751944,0.0976562500000028
8,0.0,5,5,40,2554631641,3066992907,0.11484375000000287
8,0.0,5,5,40,3737356074,4138682364,0.11171875000000288
8,0.0,5,5,40,3737356074,4280811975,0.11015625000000287
8,0.0,5,5,40,2764211710,1657781406,0.10390625000000286
8,0.0,5,5,40,3737356074,1220481235,0.11484375000000287
8,0.0,5,5,40,3737356074,1830190721,0.0914062500000028
8,0.0,5,5,40,2764211710,495822545,0.10234375000000284
8,0.0,5,5,40,2764211710,173836655,0.0960937500000028
8,0.0,5,5,40,2764211710,3186185077,0.11015625000000287
8,0.0,5,5,40,2764211710,2166625762,0.1226562500000029
8,0.0,5,5,40,3605753858,3181402302,0.11484375000000287
8,0.0,5,5,40,3605753858,23903005,0.12734375000000286
8,0.0,5,5,40,3605753858,1529044619,0.0914062500000028
8,0.0,5,5,40,3605753858,4030718831,0.11015625000000287
8,0.0,5,5,40,3605753858,2930360777,0.10078125000000283
8,0.15,5,5,40,710501710,2932314104,0.04296875000000282
8,0.15,5,5,40,710501710,917365901,0.047656250000002814
8,0.15,5,5,40,710501710,1919591202,0.04765625000000282
8,0.15,5,5,40,710501710,2894593581,0.036718750000002805
8,0.15,5,5,40,1595137050,3835691187,0.0523437500000028
8,0.15,5,5,40,710501710,1186887937,0.04296875000000282
8,0.15,5,5,40,1595137050,914425068,0.0585937500000028
8,0.15,5,5,40,1595137050,2350823082,0.0539062500000028
8,0.15,5,5,40,1595137050,2106089318,0.047656250000002814
8,0.15,5,5,40,1261257805,2677193889,0.07265625000000282
8,0.15,5,5,40,1595137050,3339065401,0.05078125000000281
8,0.15,5,5,40,1261257805,3617511051,0.06171875000000282
8,0.15,5,5,40,1261257805,2933579356,0.06640625000000282
8,0.15,5,5,40,1261257805,1080353173,0.047656250000002814
8,0.15,5,5,40,1261257805,1858987796,0.06640625000000282
8,0.15,5,5,40,2000728392,1406623371,0.049218750000002816
8,0.15,5,5,40,2000728392,2234705189,0.041406250000002816
8,0.15,5,5,40,2000728392,1380637492,0.04453125000000281
8,0.15,5,5,40,2000728392,3262409302,0.0539062500000028
8,0.15,5,5,40,592429368,3287896080,0.050781250000002796
8,0.15,5,5,40,592429368,388194689,0.06953125000000282
8,0.15,5,5,40,2000728392,2998923706,0.05234375000000281
8,0.15,5,5,40,592429368,2787864783,0.05859375000000282
8,0.15,5,5,40,592429368,2696972477,0.06796875000000283
8,0.15,5,5,40,3411186272,3856289290,0.05390625000000281
8,0.15,5,5,40,592429368,3958296900,0.060156250000002805
8,0.15,5,5,40,3411186272,1415049201,0.0585937500000028
8,0.15,5,5,40,3411186272,2834572354,0.04453125000000282
8,0.15,5,5,40,3411186272,3207764075,0.041406250000002816
8,0.15,5,5,40,1646599035,2185187047,0.049218750000002816
8,0.15,5,5,40,1646599035,4010545242,0.05078125000000281
8,0.15,5,5,40,1646599035,3747172710,0.047656250000002814
8,0.15,5,5,40,3411186272,3308321292,0.046093750000002286
8,0.15,5,5,40,1646599035,1764713637,0.04453125000000281
8,0.15,5,5,40,1646599035,2602955009,0.04296875000000282
8,0.15,5,5,40,2980600038,2692013759,0.04609375000000281
8,0.15,5,5,40,2980600038,3327227947,0.049218750000002816
8,0.15,5,5,40,2980600038,258013113,0.038281250000002806
8,0.15,5,5,40,2980600038,558144902,0.05234375000000281
8,0.15,5,5,40,2980600038,577652650,0.05234375000000281
8,0.15,5,5,40,3686700261,3637588665,0.04609375000000281
8,0.15,5,5,40,316540041,1829737855,0.0554687500000028
8,0.15,5,5,40,3686700261,3088785405,0.06171875000000282
8,0.15,5,5,40,3686700261,2674098643,0.041406250000002816
8,0.15,5,5,40,3686700261,3012983560,0.0570312500000028
8,0.15,5,5,40,316540041,3218571174,0.04609375000000281
8,0.15,5,5,40,3686700261,2639176997,0.0429687500000028
8,0.15,5,5,40,316540041,1686100304,0.041406250000002816
8,0.15,5,5,40,316540041,3161499544,0.05078125000000282
8,0.15,5,5,40,316540041,3764584865,0.047656250000002814
8,0.15,5,5,40,2776344800,3490983614,0.04609375000000281
8,0.15,5,5,40,2776344800,2623219671,0.049218750000002816
8,0.15,5,5,40,2776344800,3967900707,0.0523437500000028
8,0.15,5,5,40,2776344800,1191576448,0.04453125000000281
